LONGITUDE,LATITUDE,POPULATION
55.75,81.25,1
56.25,81.25,2
56.75,81.25,1
57.25,81.25,1
57.75,81.25,1
58.25,81.25,1
58.75,81.25,2
64.25,81.25,4
64.75,81.25,5
65.25,81.25,3
94.25,81.25,2
94.75,81.25,4
95.25,81.25,7
95.75,81.25,8
96.25,81.25,5
19.75,80.75,1
20.25,80.75,1
20.75,80.75,6
21.25,80.75,3
47.25,80.75,4
47.75,80.75,3
48.25,80.75,3
49.25,80.75,3
49.75,80.75,6
50.25,80.75,5
50.75,80.75,1
53.25,80.75,1
54.25,80.75,2
54.75,80.75,1
55.25,80.75,1
55.75,80.75,3
56.25,80.75,2
56.75,80.75,2
57.25,80.75,1
57.75,80.75,4
58.25,80.75,2
58.75,80.75,2
59.75,80.75,1
60.25,80.75,1
61.75,80.75,1
63.25,80.75,2
63.75,80.75,2
64.25,80.75,2
78.75,80.75,3
79.25,80.75,3
79.75,80.75,2
92.75,80.75,3
93.25,80.75,7
93.75,80.75,9
94.25,80.75,8
94.75,80.75,6
95.25,80.75,6
95.75,80.75,6
96.25,80.75,7
96.75,80.75,9
97.25,80.75,9
97.75,80.75,6
16.25,80.25,6
17.75,80.25,2
18.25,80.25,25
18.75,80.25,23
19.25,80.25,27
19.75,80.25,27
20.25,80.25,16
20.75,80.25,7
21.25,80.25,7
21.75,80.25,17
22.25,80.25,12
22.75,80.25,47
23.25,80.25,25
23.75,80.25,12
24.25,80.25,24
24.75,80.25,10
25.25,80.25,4
25.75,80.25,4
27.25,80.25,2
27.75,80.25,8
28.25,80.25,7
32.25,80.25,1
47.75,80.25,3
48.25,80.25,2
52.25,80.25,2
52.75,80.25,2
53.25,80.25,1
53.75,80.25,1
54.25,80.25,1
54.75,80.25,1
55.25,80.25,2
56.25,80.25,1
56.75,80.25,2
57.25,80.25,2
57.75,80.25,1
58.25,80.25,2
59.25,80.25,1
59.75,80.25,2
91.25,80.25,2
91.75,80.25,6
92.25,80.25,8
