a,b,c,d,e,f,g,h,i,j,k,l,m
214955,136032,229483849,37.39317532,-83.7832577,40.781545,-73.94959,15244,55989902,37.30791929,-118.8675652,34.066842,-118.301495
190436,136032,55307933,40.49547348,-74.43725572,40.781545,-73.94959,102693,34998618,41.48101229,-84.90397794,42.420664,-83.157255
202937,136032,163047112,38.24171482,-80.27341852,40.781545,-73.94959,191242,23731038,30.94091283,-95.2038635,29.715277,-95.491289
201199,136032,142600957,39.55632316,-80.07235841,40.781545,-73.94959,49885,17218472,27.61675526,-81.3039541,27.783201,-82.632914
191638,136032,93928192,40.83729464,-78.63650661,40.781545,-73.94959,148591,16332865,34.77857835,-82.03091665,35.786011,-78.680179
189713,102693,18155963,41.14050491,-82.58879307,42.420664,-83.157255,60041,14377825,42.16018443,-87.69796349,41.997296,-87.65714
188278,15244,21613678,33.8868696,-117.9165331,34.066842,-118.301495,30322,12866803,37.72678159,-121.5987671,37.339847,-121.835968
213907,15244,45353650,35.21784312,-118.190662,34.066842,-118.301495,207675,9429370,46.35941852,-122.3520214,47.619879,-122.324197
170143,136032,29705824,40.65736338,-74.22610744,40.781545,-73.94959,40333,7292201,39.01458865,-76.97797306,38.929186,-77.039296
173940,136032,38336344,40.33725666,-74.78293582,40.781545,-73.94959,94743,6792313,42.2984406,-71.23134547,42.336346,-71.081034
190602,148591,8305756,35.49363938,-80.3419679,35.786011,-78.680179,54681,6531323,33.99534793,-84.39115005,33.778138,-84.38445
194314,191242,10740188,29.91696637,-96.44815485,29.715277,-95.491289,186293,6386790,32.85723249,-96.94803864,32.809842,-96.778457
187144,102693,6356166,42.46852516,-83.4566588,42.420664,-83.157255,151428,6306847,40.9292353,-80.89806171,41.483619,-81.593708
178903,49885,7642103,28.22399398,-81.93365971,27.783201,-82.632914,46841,6080966,26.20185024,-80.2471687,25.768037,-80.212837
203861,15244,38934440,35.49439567,-119.1384367,34.066842,-118.301495,5388,5309094,33.27506553,-111.8179104,33.47851,-112.172982
150590,136032,19455890,40.79619406,-73.84054113,40.781545,-73.94959,171995,5134692,39.99376174,-75.18827002,39.916569,-75.159038
189320,102693,13255652,41.67849279,-82.15200857,42.420664,-83.157255,153826,4646896,39.63025049,-83.83240627,39.128925,-84.516085
214956,136032,285473751,37.37645407,-90.66433497,40.781545,-73.94959,34616,4521131,39.67545617,-104.9967289,39.694929,-105.020282
201325,191242,18948204,31.09604493,-96.49760552,29.715277,-95.491289,84608,4514559,30.3007739,-89.75731064,29.927681,-90.07095
206590,136032,205273438,37.24441705,-82.87058253,40.781545,-73.94959,105811,4097151,44.93378497,-93.21635658,44.952841,-93.282121
192958,191242,6205117,29.79947641,-95.33989503,29.715277,-95.491289,184114,4055623,29.9776274,-98.10883093,29.436877,-98.519092
218396,136032,304913757,37.50115839,-91.58991307,40.781545,-73.94959,219631,3725789,18.2804225,-66.3464668,18.449196,-66.040989
203967,136032,190637540,37.29428129,-82.27629832,40.781545,-73.94959,160482,3090934,35.78049598,-96.19515589,35.477323,-97.540796
192471,136032,114531767,39.79068506,-79.3403038,40.781545,-73.94959,133797,2926635,43.04992161,-77.54312809,43.177652,-77.568268
162439,15244,16298360,33.97425764,-118.0395817,34.066842,-118.301495,26637,2921264,32.8700577,-117.1230838,32.715551,-117.164636
195203,207675,4415152,47.59354977,-122.3540321,47.619879,-122.324197,163733,2802248,45.40378167,-122.7536681,45.517476,-122.631465
