b.censusTracts,=,,,,
,,,,,
,-81.792589,24.550157,838],,
,-81.800578,24.552255,3125],,
,-81.769851,24.555574,4164],,
,-81.792541,24.555933,2619],,
,-81.808773,24.556448,1099],,
,-81.782138,24.557214,2903],,
,-81.777754,24.567641,3965],,
,-81.75821,24.568597,5973],,
,-81.738173,24.570347,4910],,
,-81.661176,24.594586,2789],,
,-82.872205,24.629223,20],,
,-81.557882,24.641783,1948],,
,-81.48538,24.659552,1763],,
,-81.417693,24.665204,2604],,
,-81.354963,24.677304,3004],,
,-81.375214,24.703305,1333],,
,-81.102169,24.708764,1662],,
,-81.076863,24.709228,2413],,
,-81.050756,24.725195,3045],,
,-81.017853,24.725482,1389],,
,-80.910177,24.778821,1524],,
,-81.285472,24.851473,0],,
,-80.671009,24.896489,1768],,
,-80.552897,24.982082,3999],,
,-80.511691,25.01845,2488],,
,-80.478583,25.058506,1686],,
,-80.440481,25.090834,2710],,
,-80.414738,25.122916,3724],,
,-80.387069,25.157427,2315],,
,-80.294535,25.298477,1286],,
,-80.61564,25.331397,24],,
,-80.495957,25.423592,6218],,
,-80.489611,25.447375,6636],,
,-80.452382,25.451797,15387],,
,-80.485158,25.465567,8796],,
,-80.435803,25.469238,5728],,
,-80.469525,25.473894,8620],,
,-80.497872,25.476628,6280],,
,-80.45603,25.47722,9130],,
,-80.486475,25.482439,7809],,
,-80.423443,25.483569,4935],,
,-80.442525,25.4869,4448],,
,-80.414226,25.487637,3506],,
,-80.428681,25.490946,6011],,
,-80.440211,25.497265,5960],,
,-80.459392,25.499459,6331],,
,-80.39205,25.502184,964],,
,-80.422053,25.504662,5781],,
,-80.398669,25.509742,9319],,
,-80.418849,25.519237,7031],,
,-80.173669,25.525073,18],,
,-80.401361,25.528107,10967],,
,-80.318011,25.543664,0],,
,-80.542651,25.545176,6578],,
,-80.367509,25.552135,7429],,
,-80.379938,25.553279,8883],,
,-80.476488,25.554253,8085],,
,-80.401263,25.556864,3192],,
,-80.348222,25.55717,4935],,
,-80.341257,25.56675,9107],,
,-80.358952,25.568166,5140],,
,-80.393107,25.574546,5285],,
,-80.3815,25.575697,6603],,
,-80.321946,25.576337,5384],,
,-80.415481,25.576636,3916],,
,-80.346884,25.576834,5301],,
,-80.176611,25.584445,0],,
,-80.354317,25.585201,6576],,
,-80.371597,25.585509,3484],,
,-80.376235,25.586327,4446],,
,-80.325014,25.587376,4254],,
,-80.384917,25.589409,4952],,
,-80.396019,25.589484,7224],,
,-80.338684,25.590627,5072],,
,-80.419889,25.602537,9322],,
,-80.438254,25.603285,7580],,
,-80.381957,25.604736,3565],,
,-80.370599,25.605576,5001],,
,-80.342768,25.606481,4041],,
,-80.359114,25.606768,4459],,
,-80.329088,25.608606,4527],,
,-80.400333,25.613577,4976],,
,-80.426072,25.614133,7337],,
,-80.440436,25.619265,3785],,
,-80.356191,25.620209,7260],,
,-80.418798,25.621031,4344],,
,-80.331879,25.621068,4250],,
,-80.316107,25.621555,4086],,
,-80.370075,25.621762,6275],,
,-80.452851,25.631455,5537],,
,-80.440825,25.631482,3450],,
,-80.428529,25.632425,7269],,
,-80.393773,25.633297,7439],,
,-80.372047,25.633894,7577],,
