a,b,c,d,e,f,g,h,pop,j,k,l,m
1,118570,8938126,28.625,77.125,28.625,77.125,118571,8238541,28.625,77.375,28.625,77.375
2,114752,7984665,30.125,31.375,30.125,31.375,114751,7572219,30.125,31.125,30.125,31.125
3,130876,6982930,23.125,113.375,23.125,113.375,130875,5706426,23.125,113.125,23.125,113.125
4,112517,9109435,31.125,121.375,31.125,121.375,112518,4298451,31.125,121.625,31.125,121.625
5,177333,6559587,-6.125,106.875,-6.125,106.875,177332,5665438,-6.125,106.625,-6.125,106.625
6,131911,7165614,22.625,114.125,22.625,114.125,131910,5143871,22.625,113.875,22.625,113.875
7,146835,9243547,14.625,121.125,14.625,121.125,146834,3512618,14.625,120.875,14.625,120.875
8,91332,11311780,39.875,116.375,39.875,116.375,91331,2789655,39.875,116.125,39.875,116.125
9,129247,10574820,23.875,90.375,23.875,90.375,129758,7985457,23.625,90.375,23.625,90.375
10,101639,8057306,35.625,139.625,35.625,139.625,101640,3635684,35.625,139.875,35.625,139.875
11,201534,7546847,-23.625,-46.625,-23.625,-46.625,201535,3699448,-23.625,-46.375,-23.625,-46.375
12,201534,11246295,-23.625,-46.54276296,-23.625,-46.625,201533,3626106,-23.625,-46.875,-23.625,-46.875
13,91332,14101435,39.875,116.3255431,39.875,116.375,91333,2425700,39.875,116.625,39.875,116.625
14,138858,13191640,19.125,72.875,19.125,72.875,138859,2104520,19.125,73.125,19.125,73.125
15,112517,13407886,31.125,121.4551478,31.125,121.375,111862,6899021,31.375,121.375,31.375,121.375
16,112517,20306907,31.20993441,121.4279186,31.125,121.375,111863,3347928,31.375,121.625,31.375,121.625
17,149042,6658185,13.125,77.625,13.125,77.625,149041,3833335,13.125,77.375,13.125,77.375
18,101639,11692990,35.625,139.7027321,35.625,139.625,101638,3044729,35.625,139.375,35.625,139.375
19,177700,7516311,-6.375,106.875,-6.375,106.875,177699,3324333,-6.375,106.625,-6.375,106.625
20,177333,12225025,-6.125,106.7591426,-6.125,106.875,177700,10840644,-6.375,106.7983364,-6.375,106.875
21,138048,8176867,19.375,-99.125,19.375,-99.125,138049,3043190,19.375,-98.875,19.375,-98.875
22,129247,18560277,23.76743888,90.375,23.875,90.375,129248,2095716,23.875,90.625,23.875,90.625
23,177333,23065669,-6.242497611,106.7775633,-6.125,106.875,177701,2609545,-6.375,107.125,-6.375,107.125
24,129247,20655993,23.77835181,90.4003645,23.875,90.375,129759,2217763,23.625,90.625,23.625,90.625
25,177333,25675214,-6.255964721,106.8128756,-6.125,106.875,177334,2491323,-6.125,107.125,-6.125,107.125
26,118570,17176667,28.625,77.2449089,28.625,77.125,118569,2325015,28.625,76.875,28.625,76.875
27,96815,4791638,37.625,127.125,37.625,127.125,96814,4564979,37.625,126.875,37.625,126.875
28,131808,11077840,22.625,88.375,22.625,88.375,131807,1957265,22.625,88.125,22.625,88.125
29,138858,15296160,19.125,72.90939621,19.125,72.875,138383,4332364,19.375,72.875,19.375,72.875
30,152365,8332482,10.875,106.625,10.875,106.625,152366,2496348,10.875,106.875,10.875,106.875
31,112517,23654835,31.23329656,121.455812,31.125,121.375,112516,1855403,31.125,121.125,31.125,121.125
32,131911,12309485,22.625,114.0205303,22.625,114.125,132430,5997206,22.375,114.125,22.375,114.125
33,97421,4786539,37.375,126.875,37.375,126.875,97422,3960810,37.375,127.125,37.375,127.125
34,96815,9356617,37.625,127.0030281,37.625,127.125,97421,8747349,37.375,126.9882003,37.375,126.875
35,118570,19501682,28.625,77.2008079,28.625,77.125,118572,2144971,28.625,77.625,28.625,77.625
36,87817,7203217,41.125,28.875,41.125,28.875,87818,2458249,41.125,29.125,41.125,29.125
37,181340,6099012,-8.875,13.375,-8.875,13.375,181339,2899763,-8.875,13.125,-8.875,13.125
38,213525,4387214,-34.625,-58.375,-34.625,-58.375,213524,3872278,-34.625,-58.625,-34.625,-58.625
39,131808,13035105,22.625,88.33746166,22.625,88.375,132327,4016099,22.375,88.375,22.375,88.375
40,129247,22873756,23.76348333,90.42214441,23.875,90.375,129246,1382463,23.875,90.125,23.875,90.125
41,138048,11220057,19.375,-99.05719308,19.375,-99.125,137572,5007407,19.625,-99.125,19.625,-99.125
42,101639,14737719,35.625,139.6350245,35.625,139.625,101067,4359832,35.875,139.625,35.875,139.625
43,101639,19097551,35.68207318,139.632736,35.625,139.625,101068,3383989,35.875,139.875,35.875,139.875
44,127046,10044390,24.875,67.125,24.875,67.125,127045,1611797,24.875,66.875,24.875,66.875
45,112517,25510238,31.22541997,121.4317515,31.125,121.375,111861,1711846,31.375,121.125,31.375,121.125
46,91332,16527135,39.875,116.3694946,39.875,116.375,90707,3259865,40.125,116.375,40.125,116.375
47,200527,5218478,-22.875,-43.375,-22.875,-43.375,200528,2901863,-22.875,-43.125,-22.875,-43.125
48,130876,12689356,23.125,113.2625746,23.125,113.375,130877,2006149,23.125,113.625,23.125,113.625
49,113758,6251380,30.625,104.125,30.625,104.125,113757,2262102,30.625,103.875,30.625,103.875
50,142210,4513173,17.375,78.375,17.375,78.375,142211,3115814,17.375,78.625,17.375,78.625
51,158848,7500565,6.625,3.375,6.625,3.375,158847,1822278,6.625,3.125,6.625,3.125
52,148326,4556548,13.625,100.625,13.625,100.625,148325,2935570,13.625,100.375,13.625,100.375
53,138048,16227464,19.45214402,-99.07811667,19.375,-99.125,138047,1437058,19.375,-99.375,19.375,-99.375
54,131808,17051204,22.56611708,88.34630313,22.625,88.375,131809,1073832,22.625,88.625,22.625,88.625
55,118570,21646653,28.625,77.24284117,28.625,77.125,119162,2660807,28.375,77.125,28.375,77.125
56,118570,24307460,28.59763384,77.22994173,28.625,77.125,119163,2104375,28.375,77.375,28.375,77.375
57,177333,28166537,-6.244380925,106.840483,-6.125,106.875,177331,1799271,-6.125,106.375,-6.125,106.375
58,129247,24256219,23.76983913,90.40520891,23.875,90.375,128725,2790853,24.125,90.375,24.125,90.375
59,147217,3739635,14.375,120.875,14.375,120.875,147218,3246585,14.375,121.125,14.375,121.125
60,146835,12756165,14.625,121.0561584,14.625,121.125,147217,6986220,14.375,120.9911782,14.375,120.875
61,131808,18125036,22.56960564,88.36281474,22.625,88.375,132326,1886148,22.375,88.125,22.375,88.125
62,113799,4775953,30.625,114.375,30.625,114.375,113798,2349822,30.625,114.125,30.625,114.125
63,147950,5127867,13.875,100.625,13.875,100.625,147949,2172604,13.875,100.375,13.875,100.375
64,148326,7492118,13.625,100.5270447,13.625,100.625,147950,7300471,13.875,100.5506006,13.875,100.625
65,101639,22481540,35.71111311,139.6692023,35.625,139.625,102230,2848629,35.375,139.625,35.375,139.625
66,101639,25330169,35.67331385,139.6642313,35.625,139.625,102229,2114048,35.375,139.375,35.375,139.375
67,101639,27444217,35.65033452,139.6419516,35.625,139.625,101066,1587464,35.875,139.375,35.875,139.375
68,201534,14872401,-23.625,-46.62376715,-23.625,-46.625,201209,3017031,-23.375,-46.625,-23.375,-46.625
69,185258,3721878,-12.125,-76.875,-12.125,-76.875,185257,2924019,-12.125,-77.125,-12.125,-77.125
70,87817,9661466,41.125,28.93860963,41.125,28.875,87816,1446606,41.125,28.625,41.125,28.625
71,178412,4298005,-6.875,39.125,-6.875,39.125,178413,2440634,-6.875,39.375,-6.875,39.375
72,118570,26411835,28.57989539,77.24149932,28.625,77.125,117978,2219448,28.875,77.125,28.875,77.125
73,93173,5865996,39.125,117.125,39.125,117.125,93174,1772747,39.125,117.375,39.125,117.375
74,129247,27047072,23.80648642,90.4020918,23.875,90.375,129757,1015927,23.625,90.125,23.625,90.125
75,96815,18103966,37.50420673,126.9958637,37.625,127.125,97420,1739707,37.375,126.625,37.375,126.625
76,131808,20011184,22.55126315,88.34039959,22.625,88.375,131290,2297668,22.875,88.375,22.875,88.375
77,118570,28631283,28.60277139,77.23246849,28.625,77.125,117979,1465251,28.875,77.375,28.875,77.375
78,149052,5066694,13.125,80.125,13.125,80.125,149053,1952393,13.125,80.375,13.125,80.375
79,114752,15556884,30.125,31.25331402,30.125,31.375,115378,2579717,29.875,31.375,29.875,31.375
80,114752,18136601,30.08944046,31.27062241,30.125,31.375,115377,2307447,29.875,31.125,29.875,31.125
81,64777,5690732,48.875,2.375,48.875,2.375,64776,1730015,48.875,2.125,48.875,2.125
82,131911,18306691,22.5431009,114.0547542,22.625,114.125,131392,3344814,22.875,113.875,22.875,113.875
